bin/phyloP -r 0 --wig-scores --mode CONACC --method LRT InnerNodeData/Mods/HKY85G.average.mod.tree2 InnerNodeData/Alignments/allPossibilities.fa -x InnerNodeData/Mods/hkyg.infoG > /dev/null
null    alt     scale   pValue
-7.961368	-6.150128	18.296537       0.05700384
-8.273334	-6.233981	19.891167       0.04342690
-8.279317	-6.239558	20.001885       0.04340604
-8.279415	-6.239898	20.088305       0.04341847
-8.279417	-6.239917	20.049817       0.04341935
-8.279417	-6.239919	20.059924       0.04341945
-8.279417	-6.239931	20.063058       0.04342007
-8.279421	-6.240138	20.059777       0.04343050
-8.279667	-6.243632	20.129498       0.04359782
-8.279667	-6.243632	20.129498       0.04359782
-9.844644	-9.841087	0.920080        0.93278251
-9.844644	-9.841087	0.920080        0.93278251
-9.844641	-9.841085	0.920086        0.93279193
-9.844641	-9.841085	0.920086        0.93279193
-9.844641	-9.841085	0.920086        0.93279193
-9.844641	-9.841085	0.920086        0.93279193
-9.844641	-9.841085	0.920086        0.93279193
-9.844632	-9.841077	0.920102        0.93280136
-9.839527	-9.836420	0.924991        0.93716869
-8.504074	-8.503176	0.958729        0.96619638
-7.900811	-6.088272	18.348231       0.05691490
-8.210221	-6.168664	19.875098       0.04331376
-8.216204	-6.174034	20.080727       0.04328235
-8.216303	-6.174365	20.091353       0.04329424
-8.216305	-6.174385	20.093572       0.04329516
-8.216305	-6.174389	20.050994       0.04329536
-8.216305	-6.174401	20.106869       0.04329598
-8.216309	-6.174617	20.106301       0.04330684
-8.216562	-6.178214	20.175187       0.04347860
-8.216562	-6.178214	20.175187       0.04347860
-9.822424	-9.818867	0.920080        0.93278251
-9.822424	-9.818867	0.920080        0.93278251
-9.822420	-9.818864	0.920086        0.93279193
-9.822420	-9.818864	0.920086        0.93279193
-9.822420	-9.818864	0.920086        0.93279193
-9.822420	-9.818864	0.920086        0.93279193
-9.822420	-9.818864	0.920086        0.93279193
-9.822411	-9.818856	0.920102        0.93280136
-9.817306	-9.814199	0.924991        0.93716869
-8.481851	-8.480953	0.958728        0.96619638
-7.916916	-6.103390	18.368688       0.05684743
-8.227678	-6.184114	19.942044       0.04321101
-8.233823	-6.189645	20.056193       0.04317962
-8.233927	-6.189992	20.082876       0.04319204
-8.233929	-6.190013	20.136130       0.04319301
-8.233929	-6.190015	20.096085       0.04319311
-8.233929	-6.190029	20.130348       0.04319383
-8.233933	-6.190255	20.135571       0.04320518
-8.234196	-6.193961	20.252773       0.04338159
-8.234196	-6.193961	20.252773       0.04338159
-9.810515	-9.806958	0.920080        0.93278251
-9.810515	-9.806958	0.920080        0.93278251
-9.810512	-9.806955	0.920086        0.93278251
-9.810512	-9.806955	0.920086        0.93278251
-9.810512	-9.806955	0.920086        0.93278251
-9.810512	-9.806955	0.920086        0.93278251
-9.810512	-9.806955	0.920086        0.93278251
-9.810503	-9.806948	0.920101        0.93280136
-9.805398	-9.802291	0.924991        0.93716869
-8.469943	-8.469045	0.958728        0.96619638
-8.109313	-6.306652	18.027405       0.05759491
-8.424057	-6.400963	19.641594       0.04427121
-8.429311	-6.406430	19.843137       0.04428238
-8.429386	-6.406721	19.847703       0.04429372
-8.429387	-6.406736	19.821990       0.04429445
-8.429387	-6.406738	19.824224       0.04429456
-8.429387	-6.406745	19.844811       0.04429493
-8.429390	-6.406887	19.872610       0.04430222
-8.429576	-6.409583	19.914571       0.04443419
-8.429576	-6.409583	19.914571       0.04443419
-9.985252	-9.981695	0.920080        0.93278251
-9.985252	-9.981695	0.920080        0.93278251
-9.985249	-9.981692	0.920086        0.93278251
-9.985249	-9.981692	0.920086        0.93278251
-9.985249	-9.981692	0.920086        0.93278251
-9.985249	-9.981692	0.920086        0.93278251
-9.985249	-9.981692	0.920086        0.93278251
-9.985239	-9.981684	0.920102        0.93280136
-9.980134	-9.977028	0.924991        0.93717879
-8.644678	-8.643780	0.958729        0.96619638
